id,title,price,altprice,category,spicy,choice,choices,description
w1,Gra Pow,15,15,Wok,2,False,[],"Minced chicken, basil, bell pepper, onion stir fried in a spicy Thai basil sauce. Served with fried egg on the top."
w2,Ginger,10,15,Wok,0,True,['Protein'],"Stir fry with ginger sauce, onion, red bell peppers, shiitake mushroom and scallions."
w3,Pad Pak,10,15,Wok,0,True,['Protein'],Choice of meat with mixed vegetable wok in a homemade gravy sauce.
w4,Garlic Sauce,10,15,Wok,0,True,['Protein'],"Choice of meat, onion, black pepper and cilantro."
w5,Cashew Nut,10,15,Wok,1,True,['Protein'],"Choice of meat, onion, peppers, carrot, cashew nut, scallion, sweet chili sauce."
w6,Sweet & Sour,10,15,Wok,0,True,['Protein'],"Choice of meat, bell pepper, onion, cucumber, tomatoes, pineapples, and scallion."
w7,Pad Ped,10,15,Wok,3,True,['Protein'],"Choice of meat wok with spicy chili sauce, bell pepper, bamboo shoot, onion, basil and kaffir lime leaf."
f1,Thai Fried Rice,10,15,Fried Rice,0,True,['Protein'],"Egg, onion, scallions, choice of meat."
f2,Green Fried Rice,10,15,Fried Rice,1,True,['Protein'],"Green curry, coconut milk, egg, eggplant, bell, basil leaf."
f3,Pineapple Fried Rice,10,15,Fried Rice,0,True,['Protein'],"Curry fried rice, egg, pineapple, raisin, cashew, scallions, your choice of meat."
f4,Spicy Basil Fried Rice,10,15,Fried Rice,2,True,['Protein'],"Egg, bell, onion and basil leaf in a spicy basil sauce, your choice of meat."
f5,Combo Fried Rice,15,15,Fried Rice,0,False,[],"Combination fried rice with Chicken, Beef, and Shrimp, egg, tomatoes, onion, broccoli and scallions."
f6,Mango Fried Rice,10,15,Fried Rice,1,True,['Protein'],"Choice of meat, egg, onion, mango, broccoli, scallion in a sweet & spicy sauce."
f7,Crab Fried Rice,18,18,Fried Rice,0,False,[],"Crab meat, egg, pea, carrot, scallion."
f8,Street Fried Rice,18,18,Fried Rice,2,False,[],"Spicy & sour fried rice, shrimps, egg, onion, lemongrass, kaffir lime leaf and cilantro."
d1,Thai Iced Coffee,4,4,Drink,0,False,[],Lorem Ipsum
d2,Thai Iced Tea,4,4,Drink,0,False,[],Lorem Ipsum
d3,Fountain Drink,3,3,Drink,0,False,[],Lorem Ipsum
d4,Hot Tea,3,3,Drink,0,False,[],Lorem Ipsum
d5,Unsweetened Thai Iced Tea,3,3,Drink,0,False,[],Lorem Ipsum
s1,White Rice,3,3,Side,0,False,[],Lorem Ipsum
s2,Brown Rice,3,3,Side,0,False,[],Lorem Ipsum
s3,Sticky Rice,3,3,Side,0,False,[],Lorem Ipsum
s4,Fried Rice,5,5,Side,0,False,[],Lorem Ipsum
s5,Peanut Sauce,0.5,0.5,Side,0,False,[],Lorem Ipsum
s6,Sweet Chili Sauce,0.5,0.5,Side,1,False,[],Lorem Ipsum
s7,Hot Sauce,0.5,0.5,Side,1,False,[],Lorem Ipsum
s8,Thai Chili Fish Sauce,1,1,Side,1,False,[],Lorem Ipsum
a13,Sampler,15,15,Appetizers,0,False,[],"Combination of (2) Egg Rolls, (2) Sweater Shrimp, (2) Crab Rangoon, and (3) Pork Dumplings served with ginger soy dip and sweet & sour sauce."
so2,Tom Yum Soup,7 (Pot 18),7 (Pot 18),Soup,1,True,"['Chicken', 'Shrimp']","Spicy & sour soup, mushrooms, tomatoes, scallion, cilantro and choice of meat."
sal2,Papaya Salad,12,12,Salad,2,True,"['Thai Style', 'Laos Style']","Thai style, sweet & sour with peanut or Laos style, spicy & sour with salted crab."
u2,Mango Chicken,15,15,Unique,1,False,[],"Sliced chicken stir-fried in our chef""s special sweet and sour sauce with slieced mango, peppers, and onion."
mom1,Larb Mae Janla,15,15,Mom,3,False,[],"This is my original home town food, mince chicken with a spicy herb paste, served with lettuce and cucumber."
ns1,Duck Noodles,18,18,Noodle Soup,0,True,"['Rice Noodle', 'Ramen Noodle']","Bean sprout, crispy garlic, scallion, cilantro in a slow cook duck broth."
c1,Red Curry,15,15,Curry,2,True,['Protein'],"Bell pepper, egg plant, basil."
n2,Fiery Pad Thai,15,15,Noodle,1,False,[],"Spicy version of traditional Pad Thai, with chicken and shrimp, egg, onion, carrots, peppers, and basil."
w1,Gra Pow,15,15,Wok,2,False,[],"Minced chicken, basil, bell pepper, onion stir fried in a spicy Thai basil sauce. Served with fried egg on the top."
f5,Combo Fried Rice,15,15,Fried Rice,0,False,[],"Combination fried rice with Chicken, Beef, and Shrimp, egg, tomatoes, onion, broccoli and scallions."
